Talent,Activation,Ranked,Description,link,root,Force,sortval,rankbool,comp
One With Nature,Passive,No,"When in the wilderness, the character may make a Simple Survival check (instead of Discipline or Cool) to recover strain at the end of an encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/One_With_Nature_talent,True,False,One With Nature-A,False,False
One With The Universe,Active (Action),No,"Force talent. Once per session, the character may spend several minutes meditating, then take the One with the Universe action, making an Average Astrogation check. If successful, during the next encounter they add a light side Force point to all Force power checks. However, if they succeeded with threat results, they add a dark side Force point to all Force power checks instead.",https://star-wars-rpg-ffg.fandom.com/wiki/One_With_The_Universe_talent,True,True,One With The Universe-A,False,False
Ordnance Saturation,Passive,No,"When the character or an ally who is currently benefiting from On My Order or Fire When Ready activates the Blast quality of a planetary-scale weapon, all ships or vehicles within close range of the target suffer damage equal to the weapon's Blast quality (plus 1 per additional success, as usual).",https://star-wars-rpg-ffg.fandom.com/wiki/Ordnance_Saturation_talent,True,False,Ordnance Saturation-A,False,False
Outdoorsman,Passive,Yes,The character removes a setback dice per rank of Outdoorsman from their checks to move through terrain or to manage terrain or environmental effects. Decrease overland travel times by 50% (this does not decrease with additional ranks of Outdoorsman).,https://star-wars-rpg-ffg.fandom.com/wiki/Outdoorsman_talent,True,False,Outdoorsman-A,True,False
Outmaneuver,Active (Action),No,"The character may take the Outmaneuver action, making a Hard Knowledge (Warfare) check. If the check succeeds, the character chooses one enemy ship or vehicle in the current encounter for each success result. Until the end of the character's next turn, the chosen ships must perform one extra maneuver in order to move or change range bands relative to the character's ship or allies.",https://star-wars-rpg-ffg.fandom.com/wiki/Outmaneuver_talent,True,False,Outmaneuver-A,False,False
Overbalance,Passive,No,"Whenever an enemy engaged with the character makes a combat check, after the attack is resolved, the character may spend a despair or three threat results to stagger the attacker until the end of the attacker's next turn.",https://star-wars-rpg-ffg.fandom.com/wiki/Overbalance_talent,True,False,Overbalance-A,False,False
Overcharge,Active (Action),No,"Once per encounter, the character may take the Overcharge action by making a Hard Mechanics check and choosing one of their cybernetic implants that grants them one or more of the following: +1 to a characteristic rating, +1 rank to a skill, or +1 rank of a ranked talent. If they succeed, until the end of the encounter, the chosen cybernetic provides an additional +1 to any characteristic ratings (to a maximum of 7), an additional +1 ranks to any skills (to a maximum of 5), and an additional +1 ranks of any ranked talents that it provides. The GM may spend a despair from the check to have the overcharged cybernetic short out at the end of the encounter; it provides no benefit until the character spends several hours making an Average Mechanics check to repair it.",https://star-wars-rpg-ffg.fandom.com/wiki/Overcharge_talent,True,False,Overcharge-A,False,False
Improved Overcharge,Passive,No,"Once per round when using the Overcharge action, the character may spend two advantage or a triumph result from the Mechanics check to immediately take one additional action.",https://star-wars-rpg-ffg.fandom.com/wiki/Overcharge_talent,False,False,Overcharge-B,False,False
Supreme Overcharge,Passive,No,"When performing the Overcharge action, the character may choose any number of cybernetic implants to attempt to overcharge instead of just one. If they doe, upgrade the difficulty of the check once for each additional cybernetic beyond the first. The GM may spend a despair result from the check to have any one overcharged cybernetic short out at the end of the encounter; each cybernetic that shorts out provides no benefit until the character spends several hours making an Average Mechanics check to repair it.",https://star-wars-rpg-ffg.fandom.com/wiki/Overcharge_talent,False,False,Overcharge-C,False,False
Overstocked Ammo,Passive,Yes,The character increases the value of the Limited Ammo quality of any weapons mounted on their Signature Vehicle by 1 per rank of Overstocked Ammo.,https://star-wars-rpg-ffg.fandom.com/wiki/Overstocked_Ammo_talent,True,False,Overstocked Ammo-A,True,False
Overwhelm Defenses,Active (Incidental),Yes,"Upon making an unsuccessful attack with a starship or vehicle weapon, the character may spend two advantage results per rank of Overwhelm Defenses. Reduce the defense rating in the defense zone targeted by the attack of the remainder of the encounter by 1 for every two advantage results spent.",https://star-wars-rpg-ffg.fandom.com/wiki/Overwhelm_Defenses_talent,True,False,Overwhelm Defenses-A,True,False
Overwhelm Emotions,Passive,No,"When the character performs a Charm, Coercion, or Deception check, they may include a Force dice equal to their Force rating. Each light Force point adds a success result to Charm checks. Each dark Force point adds a success result to Coercion or Deception checks. However, every two light Force points add a failure result to Coercion or Deception checks, and every two dark Force points add a failure result to Charm checks. This does not apply to targets immune to Force powers.",https://star-wars-rpg-ffg.fandom.com/wiki/Overwhelm_Emotions_talent,True,False,Overwhelm Emotions-A,False,False
Overwhelming Aura,Active (Maneuver),Yes,"Force talent. The character may take the Overwhelming Aura maneuver, suffering 1 strain and committing a number of Force dice no greater than their Force rating or ranks of Overwhelming Aura. The character adds automatic advantage results equal to Force dice committed to their social checks. Opponents within short range add automatic threat results equal to Force dice committed to their social checks.",https://star-wars-rpg-ffg.fandom.com/wiki/Overwhelming_Aura_talent,True,True,Overwhelming Aura-A,True,False
Improved Overwhelming Aura,Passive,No,"Force talent. While Overwhelming Aura is active, character affected by this character's Overwhelming Aura talent add automatic failure results to fear checks the character causes and automatic success results to fear checks not caused by the character. A character who has purchased this talent automatically gains 1 Conflict at the beginning of a game session.",https://star-wars-rpg-ffg.fandom.com/wiki/Overwhelming_Aura_talent,False,True,Overwhelming Aura-B,False,False
Parry,"Active (Incidental, Out of Turn)",Yes,"When the character suffers a hit from a Brawl, Melee, or Lightsaber combat check, after damage is calculated (but before soak is applied, so immediately after step 3 of Perform a Combat Check) the character may take a Parry incidental. They suffer 3 strain and reduces the damage dealt by that hit by a number equal to 2 plus their ranks in Parry. This talent may only be used once per hit and when the character is wielding a Lightsaber or Melee weapon.",https://star-wars-rpg-ffg.fandom.com/wiki/Parry_talent,True,False,Parry-A,True,False
Improved Parry,"Active (Incidental, Out of Turn)",No,"When the character suffers a hit from a Brawl, Melee, or Lightsaber combat check and uses the Parry incidental to reduce the damage from that hit, after the attack is resolved, the character may spend a despair or three threats to automatically hit the attacker once with a wielded Brawl, Melee, or Lightsaber weapon. This hit deals the weapon's base damage plus any damage from applicable talents or abilities. This talent may not be used if the original attack incapacitates the character.",https://star-wars-rpg-ffg.fandom.com/wiki/Parry_talent,False,False,Parry-B,False,False
Supreme Parry,Passive,No,"Force talent. If the user did not make a combat check during their previous turn, they suffer 1 strain when taking the Parry incidental, instead of 3.",https://star-wars-rpg-ffg.fandom.com/wiki/Parry_talent,False,True,Parry-C,False,False
Peerless Interception,Signature Ability,Signature Ability,"This signature ability is the pinnacle ability of the Jedi to defend themselves, allowing them to parry and reflect so much more.",https://star-wars-rpg-ffg.fandom.com/wiki/Peerless_Interception,True,False,Peerless Interception-A,False,True
Persistent Targeting,Passive,No,"After making one or more successful combat checks against a target, the character adds a boost dice to combat checks against that same target for the remainder of the encounter.",https://star-wars-rpg-ffg.fandom.com/wiki/Persistent_Targeting_talent,True,False,Persistent Targeting-A,False,False
